,id,_label,name,code,lineNumber,controlStructureType,ALPHA,node_label,node_content
15,15_17,CALL,<operator>.logicalAnd,"!lookup_feature(features, flagname, NULL, feature_name) &&
        !lookup_feature(ext_features, flagname, NULL, ext_feature_name) &&
        !lookup_feature(ext2_features, flagname, NULL, ext2_feature_name) &&
        !lookup_feature(ext3_features, flagname, NULL, ext3_feature_name)",15_____7.0,,ADD,"CALL_7.0: !lookup_feature(features, flagname, NULL, feature_name) &&
        !lookup_feature(ext_features, flagname, NULL, ext_feature_name) &&
        !lookup_feature(ext2_features, flagname, NULL, ext2_feature_name) &&
        !lookup_feature(ext3_features, flagname, NULL, ext3_feature_name)",logicalAnd 
16,15_18,CALL,<operator>.logicalAnd,"!lookup_feature(features, flagname, NULL, feature_name) &&
        !lookup_feature(ext_features, flagname, NULL, ext_feature_name) &&
        !lookup_feature(ext2_features, flagname, NULL, ext2_feature_name)",15_____7.0,,ADD,"CALL_7.0: !lookup_feature(features, flagname, NULL, feature_name) &&
        !lookup_feature(ext_features, flagname, NULL, ext_feature_name) &&
        !lookup_feature(ext2_features, flagname, NULL, ext2_feature_name)",logicalAnd 
17,15_19,CALL,<operator>.logicalAnd,"!lookup_feature(features, flagname, NULL, feature_name) &&
        !lookup_feature(ext_features, flagname, NULL, ext_feature_name)",15_____7.0,,ADD,"CALL_7.0: !lookup_feature(features, flagname, NULL, feature_name) &&
        !lookup_feature(ext_features, flagname, NULL, ext_feature_name)",logicalAnd 
18,15_20,CALL,<operator>.logicalNot,"!lookup_feature(features, flagname, NULL, feature_name)",15_____7.0,,ADD,"CALL_7.0: !lookup_feature(features, flagname, NULL, feature_name)",logicalNot 
19,15_21,CALL,lookup_feature,"lookup_feature(features, flagname, NULL, feature_name)",15_____7.0,,ADD,"CALL_7.0: lookup_feature(features, flagname, NULL, feature_name)",funcCall lookup_feature 
20,15_22,IDENTIFIER,features,features,15_____7.0,,ADD,IDENTIFIER_7.0: features,variable features 
21,15_23,IDENTIFIER,flagname,flagname,15_____7.0,,ADD,IDENTIFIER_7.0: flagname,variable flagname 
22,15_24,IDENTIFIER,NULL,NULL,15_____7.0,,ADD,IDENTIFIER_7.0: NULL,variable NULL 
23,15_25,IDENTIFIER,feature_name,feature_name,15_____7.0,,ADD,IDENTIFIER_7.0: feature_name,variable feature_name 
24,15_26,CALL,<operator>.logicalNot,"!lookup_feature(ext_features, flagname, NULL, ext_feature_name)",15_____8.0,,ADD,"CALL_8.0: !lookup_feature(ext_features, flagname, NULL, ext_feature_name)",logicalNot 
25,15_27,CALL,lookup_feature,"lookup_feature(ext_features, flagname, NULL, ext_feature_name)",15_____8.0,,ADD,"CALL_8.0: lookup_feature(ext_features, flagname, NULL, ext_feature_name)",funcCall lookup_feature 
26,15_28,IDENTIFIER,ext_features,ext_features,15_____8.0,,ADD,IDENTIFIER_8.0: ext_features,variable ext_features 
27,15_29,IDENTIFIER,flagname,flagname,15_____8.0,,ADD,IDENTIFIER_8.0: flagname,variable flagname 
28,15_30,IDENTIFIER,NULL,NULL,15_____8.0,,ADD,IDENTIFIER_8.0: NULL,variable NULL 
29,15_31,IDENTIFIER,ext_feature_name,ext_feature_name,15_____8.0,,ADD,IDENTIFIER_8.0: ext_feature_name,variable ext_feature_name 
30,15_32,CALL,<operator>.logicalNot,"!lookup_feature(ext2_features, flagname, NULL, ext2_feature_name)",15_____9.0,,ADD,"CALL_9.0: !lookup_feature(ext2_features, flagname, NULL, ext2_feature_name)",logicalNot 
31,15_33,CALL,lookup_feature,"lookup_feature(ext2_features, flagname, NULL, ext2_feature_name)",15_____9.0,,ADD,"CALL_9.0: lookup_feature(ext2_features, flagname, NULL, ext2_feature_name)",funcCall lookup_feature 
32,15_34,IDENTIFIER,ext2_features,ext2_features,15_____9.0,,ADD,IDENTIFIER_9.0: ext2_features,variable ext2_features 
33,15_35,IDENTIFIER,flagname,flagname,15_____9.0,,ADD,IDENTIFIER_9.0: flagname,variable flagname 
34,15_36,IDENTIFIER,NULL,NULL,15_____9.0,,ADD,IDENTIFIER_9.0: NULL,variable NULL 
35,15_37,IDENTIFIER,ext2_feature_name,ext2_feature_name,15_____9.0,,ADD,IDENTIFIER_9.0: ext2_feature_name,variable ext2_feature_name 
36,15_38,CALL,<operator>.logicalNot,"!lookup_feature(ext3_features, flagname, NULL, ext3_feature_name)",15_____10.0,,ADD,"CALL_10.0: !lookup_feature(ext3_features, flagname, NULL, ext3_feature_name)",logicalNot 
37,15_39,CALL,lookup_feature,"lookup_feature(ext3_features, flagname, NULL, ext3_feature_name)",15_____10.0,,ADD,"CALL_10.0: lookup_feature(ext3_features, flagname, NULL, ext3_feature_name)",funcCall lookup_feature 
38,15_40,IDENTIFIER,ext3_features,ext3_features,15_____10.0,,ADD,IDENTIFIER_10.0: ext3_features,variable ext3_features 
39,15_41,IDENTIFIER,flagname,flagname,15_____10.0,,ADD,IDENTIFIER_10.0: flagname,variable flagname 
40,15_42,IDENTIFIER,NULL,NULL,15_____10.0,,ADD,IDENTIFIER_10.0: NULL,variable NULL 
41,15_43,IDENTIFIER,ext3_feature_name,ext3_feature_name,15_____10.0,,ADD,IDENTIFIER_10.0: ext3_feature_name,variable ext3_feature_name 
42,15_44,CALL,<operator>.logicalNot,"!lookup_feature(kvm_features, flagname, NULL, kvm_feature_name)",15_____11.0,,ADD,"CALL_11.0: !lookup_feature(kvm_features, flagname, NULL, kvm_feature_name)",logicalNot 
43,15_45,CALL,lookup_feature,"lookup_feature(kvm_features, flagname, NULL, kvm_feature_name)",15_____11.0,,ADD,"CALL_11.0: lookup_feature(kvm_features, flagname, NULL, kvm_feature_name)",funcCall lookup_feature 
44,15_46,IDENTIFIER,kvm_features,kvm_features,15_____11.0,,ADD,IDENTIFIER_11.0: kvm_features,variable kvm_features 
45,15_47,IDENTIFIER,flagname,flagname,15_____11.0,,ADD,IDENTIFIER_11.0: flagname,variable flagname 
46,15_48,IDENTIFIER,NULL,NULL,15_____11.0,,ADD,IDENTIFIER_11.0: NULL,variable NULL 
47,15_49,IDENTIFIER,kvm_feature_name,kvm_feature_name,15_____11.0,,ADD,IDENTIFIER_11.0: kvm_feature_name,variable kvm_feature_name 
49,15_51,CALL,fprintf,"fprintf(stderr, ""CPU feature %s not found\n"", flagname)",15_____12.0,,ADD,"CALL_12.0: fprintf(stderr, ""CPU feature %s not found\n"", flagname)",funcCall fprintf 
50,15_52,IDENTIFIER,stderr,stderr,15_____12.0,,ADD,IDENTIFIER_12.0: stderr,variable stderr 
51,15_53,LITERAL,,"""CPU feature %s not found\n""",15_____12.0,,ADD,"LITERAL_12.0: ""CPU feature %s not found\n""",literal  
52,15_54,IDENTIFIER,flagname,flagname,15_____12.0,,ADD,IDENTIFIER_12.0: flagname,variable flagname 
53,15_55,METHOD_RETURN,,void,15_____1.0,,ADD,METHOD_RETURN_1.0: void,return void 
89,15_94,METHOD_PARAMETER_OUT,flagname,const char *flagname,15_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: const char *flagname,variable flagname 
90,15_95,METHOD_PARAMETER_OUT,features,uint32_t *features,15_____1.0,,ADD,METHOD_PARAMETER_OUT_1.0: uint32_t *features,variable features 
91,15_96,METHOD_PARAMETER_OUT,ext_features,uint32_t *ext_features,15_____2.0,,ADD,METHOD_PARAMETER_OUT_2.0: uint32_t *ext_features,variable ext_features 
92,15_97,METHOD_PARAMETER_OUT,ext2_features,uint32_t *ext2_features,15_____3.0,,ADD,METHOD_PARAMETER_OUT_3.0: uint32_t *ext2_features,variable ext2_features 
93,15_98,METHOD_PARAMETER_OUT,ext3_features,uint32_t *ext3_features,15_____4.0,,ADD,METHOD_PARAMETER_OUT_4.0: uint32_t *ext3_features,variable ext3_features 
94,15_99,METHOD_PARAMETER_OUT,kvm_features,uint32_t *kvm_features,15_____5.0,,ADD,METHOD_PARAMETER_OUT_5.0: uint32_t *kvm_features,variable kvm_features 
2,16_4,TYPE_DECL,<global>,<global>,16_____1.0,,ADD,TYPE_DECL_1.0: <global>,type <global> 
3,16_5,METHOD,<global>,<global>,16_____1.0,,ADD,METHOD_1.0: <global>,
5,16_7,METHOD,cpu_x86_fill_host,int cpu_x86_fill_host (x86_def_t *x86_cpu_def),16_____1.0,,ADD,METHOD_1.0: int cpu_x86_fill_host (x86_def_t *x86_cpu_def),methodDecl cpu_x86_fill_host 
6,16_8,METHOD_PARAMETER_IN,x86_cpu_def,x86_def_t *x86_cpu_def,16_____1.0,,ADD,METHOD_PARAMETER_IN_1.0: x86_def_t *x86_cpu_def,variable x86_cpu_def 
8,16_10,LOCAL,eax,uint32_t eax,16_____3.0,,ADD,LOCAL_3.0: uint32_t eax,variable eax 
9,16_11,LOCAL,ebx,uint32_t ebx,16_____3.0,,ADD,LOCAL_3.0: uint32_t ebx,variable ebx 
10,16_12,LOCAL,ecx,uint32_t ecx,16_____3.0,,ADD,LOCAL_3.0: uint32_t ecx,variable ecx 
11,16_13,LOCAL,edx,uint32_t edx,16_____3.0,,ADD,LOCAL_3.0: uint32_t edx,variable edx 
12,16_14,CALL,<operator>.assignment,eax = 0,16_____3.0,,ADD,CALL_3.0: eax = 0,assignment 
13,16_15,IDENTIFIER,eax,eax,16_____3.0,,ADD,IDENTIFIER_3.0: eax,variable eax 
14,16_16,LITERAL,,0,16_____3.0,,ADD,LITERAL_3.0: 0,literal  
15,16_17,CALL,<operator>.assignment,ebx = 0,16_____3.0,,ADD,CALL_3.0: ebx = 0,assignment 
16,16_18,IDENTIFIER,ebx,ebx,16_____3.0,,ADD,IDENTIFIER_3.0: ebx,variable ebx 
17,16_19,LITERAL,,0,16_____3.0,,ADD,LITERAL_3.0: 0,literal  
18,16_20,CALL,<operator>.assignment,ecx = 0,16_____3.0,,ADD,CALL_3.0: ecx = 0,assignment 
19,16_21,IDENTIFIER,ecx,ecx,16_____3.0,,ADD,IDENTIFIER_3.0: ecx,variable ecx 
20,16_22,LITERAL,,0,16_____3.0,,ADD,LITERAL_3.0: 0,literal  
21,16_23,CALL,<operator>.assignment,edx = 0,16_____3.0,,ADD,CALL_3.0: edx = 0,assignment 
22,16_24,IDENTIFIER,edx,edx,16_____3.0,,ADD,IDENTIFIER_3.0: edx,variable edx 
23,16_25,LITERAL,,0,16_____3.0,,ADD,LITERAL_3.0: 0,literal  
24,16_26,CALL,<operator>.assignment,"x86_cpu_def->name = ""host""",16_____5.0,,ADD,"CALL_5.0: x86_cpu_def->name = ""host""",assignment 
25,16_27,CALL,<operator>.indirectFieldAccess,x86_cpu_def->name,16_____5.0,,ADD,CALL_5.0: x86_cpu_def->name,indirectFieldAccess 
26,16_28,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____5.0,,ADD,IDENTIFIER_5.0: x86_cpu_def,variable x86_cpu_def 
27,16_29,FIELD_IDENTIFIER,,name,16_____5.0,,ADD,FIELD_IDENTIFIER_5.0: name,variable  
28,16_30,LITERAL,,"""host""",16_____5.0,,ADD,"LITERAL_5.0: ""host""",literal  
29,16_31,CALL,host_cpuid,"host_cpuid(0x0, 0, &eax, &ebx, &ecx, &edx)",16_____6.0,,ADD,"CALL_6.0: host_cpuid(0x0, 0, &eax, &ebx, &ecx, &edx)",funcCall host_cpuid 
30,16_32,LITERAL,,0x0,16_____6.0,,ADD,LITERAL_6.0: 0x0,literal  
31,16_33,LITERAL,,0,16_____6.0,,ADD,LITERAL_6.0: 0,literal  
32,16_34,CALL,<operator>.addressOf,&eax,16_____6.0,,ADD,CALL_6.0: &eax,addressOf 
33,16_35,IDENTIFIER,eax,eax,16_____6.0,,ADD,IDENTIFIER_6.0: eax,variable eax 
34,16_36,CALL,<operator>.addressOf,&ebx,16_____6.0,,ADD,CALL_6.0: &ebx,addressOf 
35,16_37,IDENTIFIER,ebx,ebx,16_____6.0,,ADD,IDENTIFIER_6.0: ebx,variable ebx 
36,16_38,CALL,<operator>.addressOf,&ecx,16_____6.0,,ADD,CALL_6.0: &ecx,addressOf 
37,16_39,IDENTIFIER,ecx,ecx,16_____6.0,,ADD,IDENTIFIER_6.0: ecx,variable ecx 
38,16_40,CALL,<operator>.addressOf,&edx,16_____6.0,,ADD,CALL_6.0: &edx,addressOf 
39,16_41,IDENTIFIER,edx,edx,16_____6.0,,ADD,IDENTIFIER_6.0: edx,variable edx 
40,16_42,CALL,<operator>.assignment,x86_cpu_def->level = eax,16_____7.0,,ADD,CALL_7.0: x86_cpu_def->level = eax,assignment 
41,16_43,CALL,<operator>.indirectFieldAccess,x86_cpu_def->level,16_____7.0,,ADD,CALL_7.0: x86_cpu_def->level,indirectFieldAccess 
42,16_44,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____7.0,,ADD,IDENTIFIER_7.0: x86_cpu_def,variable x86_cpu_def 
43,16_45,FIELD_IDENTIFIER,,level,16_____7.0,,ADD,FIELD_IDENTIFIER_7.0: level,variable  
44,16_46,IDENTIFIER,eax,eax,16_____7.0,,ADD,IDENTIFIER_7.0: eax,variable eax 
45,16_47,CALL,<operator>.assignment,x86_cpu_def->vendor1 = ebx,16_____8.0,,ADD,CALL_8.0: x86_cpu_def->vendor1 = ebx,assignment 
46,16_48,CALL,<operator>.indirectFieldAccess,x86_cpu_def->vendor1,16_____8.0,,ADD,CALL_8.0: x86_cpu_def->vendor1,indirectFieldAccess 
47,16_49,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____8.0,,ADD,IDENTIFIER_8.0: x86_cpu_def,variable x86_cpu_def 
48,16_50,FIELD_IDENTIFIER,,vendor1,16_____8.0,,ADD,FIELD_IDENTIFIER_8.0: vendor1,variable  
49,16_51,IDENTIFIER,ebx,ebx,16_____8.0,,ADD,IDENTIFIER_8.0: ebx,variable ebx 
50,16_52,CALL,<operator>.assignment,x86_cpu_def->vendor2 = edx,16_____9.0,,ADD,CALL_9.0: x86_cpu_def->vendor2 = edx,assignment 
51,16_53,CALL,<operator>.indirectFieldAccess,x86_cpu_def->vendor2,16_____9.0,,ADD,CALL_9.0: x86_cpu_def->vendor2,indirectFieldAccess 
52,16_54,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____9.0,,ADD,IDENTIFIER_9.0: x86_cpu_def,variable x86_cpu_def 
53,16_55,FIELD_IDENTIFIER,,vendor2,16_____9.0,,ADD,FIELD_IDENTIFIER_9.0: vendor2,variable  
54,16_56,IDENTIFIER,edx,edx,16_____9.0,,ADD,IDENTIFIER_9.0: edx,variable edx 
55,16_57,CALL,<operator>.assignment,x86_cpu_def->vendor3 = ecx,16_____10.0,,ADD,CALL_10.0: x86_cpu_def->vendor3 = ecx,assignment 
56,16_58,CALL,<operator>.indirectFieldAccess,x86_cpu_def->vendor3,16_____10.0,,ADD,CALL_10.0: x86_cpu_def->vendor3,indirectFieldAccess 
57,16_59,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____10.0,,ADD,IDENTIFIER_10.0: x86_cpu_def,variable x86_cpu_def 
58,16_60,FIELD_IDENTIFIER,,vendor3,16_____10.0,,ADD,FIELD_IDENTIFIER_10.0: vendor3,variable  
59,16_61,IDENTIFIER,ecx,ecx,16_____10.0,,ADD,IDENTIFIER_10.0: ecx,variable ecx 
60,16_62,CALL,host_cpuid,"host_cpuid(0x1, 0, &eax, &ebx, &ecx, &edx)",16_____12.0,,ADD,"CALL_12.0: host_cpuid(0x1, 0, &eax, &ebx, &ecx, &edx)",funcCall host_cpuid 
61,16_63,LITERAL,,0x1,16_____12.0,,ADD,LITERAL_12.0: 0x1,literal  
62,16_64,LITERAL,,0,16_____12.0,,ADD,LITERAL_12.0: 0,literal  
63,16_65,CALL,<operator>.addressOf,&eax,16_____12.0,,ADD,CALL_12.0: &eax,addressOf 
64,16_66,IDENTIFIER,eax,eax,16_____12.0,,ADD,IDENTIFIER_12.0: eax,variable eax 
65,16_67,CALL,<operator>.addressOf,&ebx,16_____12.0,,ADD,CALL_12.0: &ebx,addressOf 
66,16_68,IDENTIFIER,ebx,ebx,16_____12.0,,ADD,IDENTIFIER_12.0: ebx,variable ebx 
67,16_69,CALL,<operator>.addressOf,&ecx,16_____12.0,,ADD,CALL_12.0: &ecx,addressOf 
68,16_70,IDENTIFIER,ecx,ecx,16_____12.0,,ADD,IDENTIFIER_12.0: ecx,variable ecx 
69,16_71,CALL,<operator>.addressOf,&edx,16_____12.0,,ADD,CALL_12.0: &edx,addressOf 
70,16_72,IDENTIFIER,edx,edx,16_____12.0,,ADD,IDENTIFIER_12.0: edx,variable edx 
71,16_73,CALL,<operator>.assignment,x86_cpu_def->family = ((eax >> 8) & 0x0F) + ((eax >> 20) & 0xFF),16_____13.0,,ADD,CALL_13.0: x86_cpu_def->family = ((eax >> 8) & 0x0F) + ((eax >> 20) & 0xFF),assignment 
72,16_74,CALL,<operator>.indirectFieldAccess,x86_cpu_def->family,16_____13.0,,ADD,CALL_13.0: x86_cpu_def->family,indirectFieldAccess 
73,16_75,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____13.0,,ADD,IDENTIFIER_13.0: x86_cpu_def,variable x86_cpu_def 
74,16_76,FIELD_IDENTIFIER,,family,16_____13.0,,ADD,FIELD_IDENTIFIER_13.0: family,variable  
75,16_77,CALL,<operator>.addition,((eax >> 8) & 0x0F) + ((eax >> 20) & 0xFF),16_____13.0,,ADD,CALL_13.0: ((eax >> 8) & 0x0F) + ((eax >> 20) & 0xFF),addition 
76,16_78,CALL,<operator>.and,(eax >> 8) & 0x0F,16_____13.0,,ADD,CALL_13.0: (eax >> 8) & 0x0F,and 
77,16_79,CALL,<operator>.arithmeticShiftRight,eax >> 8,16_____13.0,,ADD,CALL_13.0: eax >> 8,arithmeticShiftRight 
78,16_80,IDENTIFIER,eax,eax,16_____13.0,,ADD,IDENTIFIER_13.0: eax,variable eax 
79,16_81,LITERAL,,8,16_____13.0,,ADD,LITERAL_13.0: 8,literal  
80,16_82,LITERAL,,0x0F,16_____13.0,,ADD,LITERAL_13.0: 0x0F,literal  
81,16_83,CALL,<operator>.and,(eax >> 20) & 0xFF,16_____13.0,,ADD,CALL_13.0: (eax >> 20) & 0xFF,and 
82,16_84,CALL,<operator>.arithmeticShiftRight,eax >> 20,16_____13.0,,ADD,CALL_13.0: eax >> 20,arithmeticShiftRight 
83,16_85,IDENTIFIER,eax,eax,16_____13.0,,ADD,IDENTIFIER_13.0: eax,variable eax 
84,16_86,LITERAL,,20,16_____13.0,,ADD,LITERAL_13.0: 20,literal  
85,16_87,LITERAL,,0xFF,16_____13.0,,ADD,LITERAL_13.0: 0xFF,literal  
86,16_88,CALL,<operator>.assignment,x86_cpu_def->model = ((eax >> 4) & 0x0F) | ((eax & 0xF0000) >> 12),16_____14.0,,ADD,CALL_14.0: x86_cpu_def->model = ((eax >> 4) & 0x0F) | ((eax & 0xF0000) >> 12),assignment 
87,16_89,CALL,<operator>.indirectFieldAccess,x86_cpu_def->model,16_____14.0,,ADD,CALL_14.0: x86_cpu_def->model,indirectFieldAccess 
88,16_90,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____14.0,,ADD,IDENTIFIER_14.0: x86_cpu_def,variable x86_cpu_def 
89,16_91,FIELD_IDENTIFIER,,model,16_____14.0,,ADD,FIELD_IDENTIFIER_14.0: model,variable  
90,16_92,CALL,<operator>.or,((eax >> 4) & 0x0F) | ((eax & 0xF0000) >> 12),16_____14.0,,ADD,CALL_14.0: ((eax >> 4) & 0x0F) | ((eax & 0xF0000) >> 12),or 
91,16_93,CALL,<operator>.and,(eax >> 4) & 0x0F,16_____14.0,,ADD,CALL_14.0: (eax >> 4) & 0x0F,and 
92,16_94,CALL,<operator>.arithmeticShiftRight,eax >> 4,16_____14.0,,ADD,CALL_14.0: eax >> 4,arithmeticShiftRight 
93,16_95,IDENTIFIER,eax,eax,16_____14.0,,ADD,IDENTIFIER_14.0: eax,variable eax 
94,16_96,LITERAL,,4,16_____14.0,,ADD,LITERAL_14.0: 4,literal  
95,16_97,LITERAL,,0x0F,16_____14.0,,ADD,LITERAL_14.0: 0x0F,literal  
96,16_98,CALL,<operator>.arithmeticShiftRight,(eax & 0xF0000) >> 12,16_____14.0,,ADD,CALL_14.0: (eax & 0xF0000) >> 12,arithmeticShiftRight 
97,16_99,CALL,<operator>.and,eax & 0xF0000,16_____14.0,,ADD,CALL_14.0: eax & 0xF0000,and 
98,16_100,IDENTIFIER,eax,eax,16_____14.0,,ADD,IDENTIFIER_14.0: eax,variable eax 
99,16_101,LITERAL,,0xF0000,16_____14.0,,ADD,LITERAL_14.0: 0xF0000,literal  
100,16_102,LITERAL,,12,16_____14.0,,ADD,LITERAL_14.0: 12,literal  
101,16_103,CALL,<operator>.assignment,x86_cpu_def->stepping = eax & 0x0F,16_____15.0,,ADD,CALL_15.0: x86_cpu_def->stepping = eax & 0x0F,assignment 
102,16_104,CALL,<operator>.indirectFieldAccess,x86_cpu_def->stepping,16_____15.0,,ADD,CALL_15.0: x86_cpu_def->stepping,indirectFieldAccess 
103,16_105,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____15.0,,ADD,IDENTIFIER_15.0: x86_cpu_def,variable x86_cpu_def 
104,16_106,FIELD_IDENTIFIER,,stepping,16_____15.0,,ADD,FIELD_IDENTIFIER_15.0: stepping,variable  
105,16_107,CALL,<operator>.and,eax & 0x0F,16_____15.0,,ADD,CALL_15.0: eax & 0x0F,and 
106,16_108,IDENTIFIER,eax,eax,16_____15.0,,ADD,IDENTIFIER_15.0: eax,variable eax 
107,16_109,LITERAL,,0x0F,16_____15.0,,ADD,LITERAL_15.0: 0x0F,literal  
108,16_110,CALL,<operator>.assignment,x86_cpu_def->ext_features = ecx,16_____16.0,,ADD,CALL_16.0: x86_cpu_def->ext_features = ecx,assignment 
109,16_111,CALL,<operator>.indirectFieldAccess,x86_cpu_def->ext_features,16_____16.0,,ADD,CALL_16.0: x86_cpu_def->ext_features,indirectFieldAccess 
110,16_112,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____16.0,,ADD,IDENTIFIER_16.0: x86_cpu_def,variable x86_cpu_def 
111,16_113,FIELD_IDENTIFIER,,ext_features,16_____16.0,,ADD,FIELD_IDENTIFIER_16.0: ext_features,variable  
112,16_114,IDENTIFIER,ecx,ecx,16_____16.0,,ADD,IDENTIFIER_16.0: ecx,variable ecx 
113,16_115,CALL,<operator>.assignment,x86_cpu_def->features = edx,16_____17.0,,ADD,CALL_17.0: x86_cpu_def->features = edx,assignment 
114,16_116,CALL,<operator>.indirectFieldAccess,x86_cpu_def->features,16_____17.0,,ADD,CALL_17.0: x86_cpu_def->features,indirectFieldAccess 
115,16_117,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____17.0,,ADD,IDENTIFIER_17.0: x86_cpu_def,variable x86_cpu_def 
116,16_118,FIELD_IDENTIFIER,,features,16_____17.0,,ADD,FIELD_IDENTIFIER_17.0: features,variable  
117,16_119,IDENTIFIER,edx,edx,16_____17.0,,ADD,IDENTIFIER_17.0: edx,variable edx 
118,16_120,CALL,host_cpuid,"host_cpuid(0x80000000, 0, &eax, &ebx, &ecx, &edx)",16_____19.0,,ADD,"CALL_19.0: host_cpuid(0x80000000, 0, &eax, &ebx, &ecx, &edx)",funcCall host_cpuid 
119,16_121,LITERAL,,0x80000000,16_____19.0,,ADD,LITERAL_19.0: 0x80000000,literal  
120,16_122,LITERAL,,0,16_____19.0,,ADD,LITERAL_19.0: 0,literal  
121,16_123,CALL,<operator>.addressOf,&eax,16_____19.0,,ADD,CALL_19.0: &eax,addressOf 
122,16_124,IDENTIFIER,eax,eax,16_____19.0,,ADD,IDENTIFIER_19.0: eax,variable eax 
123,16_125,CALL,<operator>.addressOf,&ebx,16_____19.0,,ADD,CALL_19.0: &ebx,addressOf 
124,16_126,IDENTIFIER,ebx,ebx,16_____19.0,,ADD,IDENTIFIER_19.0: ebx,variable ebx 
125,16_127,CALL,<operator>.addressOf,&ecx,16_____19.0,,ADD,CALL_19.0: &ecx,addressOf 
126,16_128,IDENTIFIER,ecx,ecx,16_____19.0,,ADD,IDENTIFIER_19.0: ecx,variable ecx 
127,16_129,CALL,<operator>.addressOf,&edx,16_____19.0,,ADD,CALL_19.0: &edx,addressOf 
128,16_130,IDENTIFIER,edx,edx,16_____19.0,,ADD,IDENTIFIER_19.0: edx,variable edx 
129,16_131,CALL,<operator>.assignment,x86_cpu_def->xlevel = eax,16_____20.0,,ADD,CALL_20.0: x86_cpu_def->xlevel = eax,assignment 
130,16_132,CALL,<operator>.indirectFieldAccess,x86_cpu_def->xlevel,16_____20.0,,ADD,CALL_20.0: x86_cpu_def->xlevel,indirectFieldAccess 
131,16_133,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____20.0,,ADD,IDENTIFIER_20.0: x86_cpu_def,variable x86_cpu_def 
132,16_134,FIELD_IDENTIFIER,,xlevel,16_____20.0,,ADD,FIELD_IDENTIFIER_20.0: xlevel,variable  
133,16_135,IDENTIFIER,eax,eax,16_____20.0,,ADD,IDENTIFIER_20.0: eax,variable eax 
134,16_136,CALL,host_cpuid,"host_cpuid(0x80000001, 0, &eax, &ebx, &ecx, &edx)",16_____22.0,,ADD,"CALL_22.0: host_cpuid(0x80000001, 0, &eax, &ebx, &ecx, &edx)",funcCall host_cpuid 
135,16_137,LITERAL,,0x80000001,16_____22.0,,ADD,LITERAL_22.0: 0x80000001,literal  
136,16_138,LITERAL,,0,16_____22.0,,ADD,LITERAL_22.0: 0,literal  
137,16_139,CALL,<operator>.addressOf,&eax,16_____22.0,,ADD,CALL_22.0: &eax,addressOf 
138,16_140,IDENTIFIER,eax,eax,16_____22.0,,ADD,IDENTIFIER_22.0: eax,variable eax 
139,16_141,CALL,<operator>.addressOf,&ebx,16_____22.0,,ADD,CALL_22.0: &ebx,addressOf 
140,16_142,IDENTIFIER,ebx,ebx,16_____22.0,,ADD,IDENTIFIER_22.0: ebx,variable ebx 
141,16_143,CALL,<operator>.addressOf,&ecx,16_____22.0,,ADD,CALL_22.0: &ecx,addressOf 
142,16_144,IDENTIFIER,ecx,ecx,16_____22.0,,ADD,IDENTIFIER_22.0: ecx,variable ecx 
143,16_145,CALL,<operator>.addressOf,&edx,16_____22.0,,ADD,CALL_22.0: &edx,addressOf 
144,16_146,IDENTIFIER,edx,edx,16_____22.0,,ADD,IDENTIFIER_22.0: edx,variable edx 
145,16_147,CALL,<operator>.assignment,x86_cpu_def->ext2_features = edx,16_____23.0,,ADD,CALL_23.0: x86_cpu_def->ext2_features = edx,assignment 
146,16_148,CALL,<operator>.indirectFieldAccess,x86_cpu_def->ext2_features,16_____23.0,,ADD,CALL_23.0: x86_cpu_def->ext2_features,indirectFieldAccess 
147,16_149,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____23.0,,ADD,IDENTIFIER_23.0: x86_cpu_def,variable x86_cpu_def 
148,16_150,FIELD_IDENTIFIER,,ext2_features,16_____23.0,,ADD,FIELD_IDENTIFIER_23.0: ext2_features,variable  
149,16_151,IDENTIFIER,edx,edx,16_____23.0,,ADD,IDENTIFIER_23.0: edx,variable edx 
150,16_152,CALL,<operator>.assignment,x86_cpu_def->ext3_features = ecx,16_____24.0,,ADD,CALL_24.0: x86_cpu_def->ext3_features = ecx,assignment 
151,16_153,CALL,<operator>.indirectFieldAccess,x86_cpu_def->ext3_features,16_____24.0,,ADD,CALL_24.0: x86_cpu_def->ext3_features,indirectFieldAccess 
152,16_154,IDENTIFIER,x86_cpu_def,x86_cpu_def,16_____24.0,,ADD,IDENTIFIER_24.0: x86_cpu_def,variable x86_cpu_def 
153,16_155,FIELD_IDENTIFIER,,ext3_features,16_____24.0,,ADD,FIELD_IDENTIFIER_24.0: ext3_features,variable  
154,16_156,IDENTIFIER,ecx,ecx,16_____24.0,,ADD,IDENTIFIER_24.0: ecx,variable ecx 
